City Web Link,City Name,URL,Mayor,Population,Street,City Name,State,Zip,County,Address,Latitude,Longitude,Location
City of Rainier,City of Rainier,http://www.cityofrainierwa.org/,Robert Shaw,2555,PO Box 258,Rainier,WA,98576,Thurston,"PO Box 258,Rainier,WA 98576",46.891055,-122.689346,"46.891055,-122.689346"
City of University Place,City of University Place,http://www.cityofup.com/,Steve Worthington,35580,3609 Market Pl W Ste 200,University Place,WA,98466-4488,Pierce,"3609 Market Pl W Ste 200,University Place,WA 98466-4488",47.225879,-122.535847,"47.225879,-122.535847"
City of Warden,City of Warden,http://www.cityofwarden.org/index.php?option=com_contact&view=category&id=16&Itemid=328,Tony Massa,2625,121 S Main St,Warden,WA,98857-9651,Grant,"121 S Main St,Warden,WA 98857-9651",46.96888,-119.041,"46.96888,-119.041"
City of Winlock,City of Winlock,http://www.cityofwinlock.com/index.html,Brandon Svenson,1835,PO Box 777,Winlock,WA,98596,Lewis,"PO Box 777,Winlock,WA 98596",46.492403,-122.938836,"46.492403,-122.938836"
City of Zillah,City of Zillah,http://www.cityofzillah.us/,Scott Carmack,3215,PO Box 475,Zillah,WA,98953,Yakima,"PO Box 475,Zillah,WA 98953",46.402073,-120.261999,"46.402073,-120.261999"
Town of Colton,Town of Colton,http://www.coltonwashington.us/,Jerry Weber,410,PO Box 157,Colton,WA,99113,Whitman,"PO Box 157,Colton,WA 99113",46.56786,-117.128329,"46.56786,-117.128329"
City of College Place,City of College Place,http://www.cpwa.us/,Norma Hernandez,9890,625 S College Ave,College Place,WA,99324-1516,Walla Walla,"625 S College Ave,College Place,WA 99324-1516",46.04305,-118.38806,"46.04305,-118.38806"
City of Edmonds,City of Edmonds,http://www.edmondswa.gov/,Michael Nelson,43370,121 5th Ave N,Edmonds,WA,98020-3145,Snohomish,"121 5th Ave N,Edmonds,WA 98020-3145",47.811315,-122.37716,"47.811315,-122.37716"
City of Ephrata,City of Ephrata,http://www.ephrata.org/,Bruce Reim,8690,121 Alder St SW,Ephrata,WA,98823-1840,Grant,"121 Alder St SW,Ephrata,WA 98823-1840",47.31904,-119.55151,"47.31904,-119.55151"
Town of Farmington,Town of Farmington,http://www.farmingtonwa.com/,Brian Oliver,140,PO Box 65,Farmington,WA,99128,Whitman,"PO Box 65,Farmington,WA 99128",47.08934,-117.044061,"47.08934,-117.044061"
Town of Friday Harbor,Town of Friday Harbor,http://www.fridayharbor.org/,Ray Jackson,2715,PO Box 219,Friday Harbor,WA,98250,San Juan,"PO Box 219,Friday Harbor,WA 98250",48.534266,-123.017124,"48.534266,-123.017124"
City of Grand Coulee,City of Grand Coulee,http://www.gccitywa.org/,Paul Townsend,960,PO Box 180,Grand Coulee,WA,99133,Grant,"PO Box 180,Grand Coulee,WA 99133",47.941541,-119.003355,"47.941541,-119.003355"
City of Granger,City of Granger,http://www.grangerwashington.org/,Jose Trevino,3775,PO Box 1100,Granger,WA,98932,Yakima,"PO Box 1100,Granger,WA 98932",46.342074,-120.187273,"46.342074,-120.187273"
City of Kettle Falls,City of Kettle Falls,http://www.kettle-falls.com/,Jesse Garrett,1640,PO Box 457,Kettle Falls,WA,99141,Stevens,"PO Box 457,Kettle Falls,WA 99141",48.610516,-118.056338,"48.610516,-118.056338"
City of Kirkland,City of Kirkland,http://www.kirklandwa.gov/,Penny Sweet,96920,123 5th Ave,Kirkland,WA,98033-6121,King,"123 5th Ave,Kirkland,WA 98033-6121",47.678345,-122.207115,"47.678345,-122.207115"
Town of LaCrosse,Town of LaCrosse,http://www.lacrossewa.us/,Randy Camp,295,PO Box 228,LaCrosse,WA,99143,Whitman,"PO Box 228,LaCrosse,WA 99143",46.814045,-117.881883,"46.814045,-117.881883"
Town of Latah,Town of Latah,http://www.latahwa.com/,Carole Meissner,185,PO Box 130,Latah,WA,99018,Spokane,"PO Box 130,Latah,WA 99018",47.281564,-117.155461,"47.281564,-117.155461"
Town of Mansfield,Town of Mansfield,http://www.mansfieldwashington.org/,Clint Wall,330,PO Box 218,Mansfield,WA,98830,Douglas,"PO Box 218,Mansfield,WA 98830",47.811532,-119.636714,"47.811532,-119.636714"
City of Medina,City of Medina,http://www.medina-wa.gov/,Jessica Rossman,2925,PO Box 144,Medina,WA,98039,King,"PO Box 144,Medina,WA 98039",47.678485,-122.19496,"47.678485,-122.19496"
City of Mercer Island,City of Mercer Island,http://www.mercergov.org/,Salim Nice,25800,9611 SE 36th St,Mercer Island,WA,98040-3732,King,"9611 SE 36th St,Mercer Island,WA 98040-3732",47.57758,-122.21048,"47.57758,-122.21048"
City of Monroe,City of Monroe,http://www.monroewa.gov/directory.aspx,Geoffrey Thomas,20590,806 W Main St,Monroe,WA,98272-2125,Snohomish,"806 W Main St,Monroe,WA 98272-2125",47.85134,-121.98165,"47.85134,-121.98165"
City of Mount Vernon,City of Mount Vernon,http://www.mountvernonwa.gov/,Jill Boudreau,35590,910 Cleveland Ave,Mount Vernon,WA,98273,Skagit,"910 Cleveland Ave,Mount Vernon,WA 98273",48.41627,-122.33836,"48.41627,-122.33836"
