City Web Link,City Name,URL,Mayor,Population,Street,City Name,State,Zip,County,Address,Latitude,Longitude,Location
City of South Bend,City of South Bend,https://www.southbend-wa.gov/,Julie Struck,1755,PO Box 9,South Bend,WA,98586,Pacific,"PO Box 9,South Bend,WA 98586",46.665381,-123.810567,"46.665381,-123.810567"
Town of St John,Town of St John,https://www.stjohnwa.com/,Mike Webb,605,PO Box 298,St John,WA,99171,Whitman,"PO Box 298,St John,WA 99171",47.091556,-117.581864,"47.091556,-117.581864"
City of Tonasket,City of Tonasket,https://www.tonasketcity.org/,René Maldonado,1085,PO Box 487,Tonasket,WA,98855,Okanogan,"PO Box 487,Tonasket,WA 98855",48.705278,-119.436891,"48.705278,-119.436891"
Town of Cathlamet,Town of Cathlamet,https://www.townofcathlamet.com/,David Olson,575,375 Second St,Cathlamet,WA,98612,Wahkiakum,"375 Second St,Cathlamet,WA 98612",46.20467,-123.3861,"46.20467,-123.3861"
Town of Coulee Dam,Town of Coulee Dam,https://www.townofcouleedam.org/,Bob Poch,1210,300 Lincoln Ave,Coulee Dam,WA,99116-1419,"Okanogan, Douglas, Grant","300 Lincoln Ave,Coulee Dam,WA 99116-1419",47.96188,-118.986093,"47.96188,-118.986093"
Town of Coupeville,Town of Coupeville,https://www.townofcoupeville.org/,Molly Hughes,1995,1 NE 7th St,Coupeville,WA,98239,Island,"1 NE 7th St,Coupeville,WA 98239",48.21823,-122.685595,"48.21823,-122.685595"
Town of Elmer City,Town of Elmer City,https://www.townofelmercity.com,Jesse Tillman,245,PO Box 179,Elmer City,WA,99124,Okanogan,"PO Box 179,Elmer City,WA 99124",47.997931,-118.954466,"47.997931,-118.954466"
Town of La Conner,Town of La Conner,https://www.townoflaconner.org,Ramon Hayes,990,PO Box 400,La Conner,WA,98257,Skagit,"PO Box 400,La Conner,WA 98257",48.391887,-122.494249,"48.391887,-122.494249"
Town of Lyman,Town of Lyman,https://www.townoflyman.com/,Eddie Hills,425,PO Box 1248,Lyman,WA,98263,Skagit,"PO Box 1248,Lyman,WA 98263",48.525159,-122.060896,"48.525159,-122.060896"
Town of Naches,Town of Naches,https://www.townofnaches.com/,Paul Williams,1120,PO Box 95,Naches,WA,98937,Yakima,"PO Box 95,Naches,WA 98937",46.730434,-120.70102,"46.730434,-120.70102"
Town of Rosalia,Town of Rosalia,https://www.townofrosalia.net/,Lee Root,585,PO Box 277,Rosalia,WA,99170,Whitman,"PO Box 277,Rosalia,WA 99170",47.236005,-117.369813,"47.236005,-117.369813"
Town of South Prairie,Town of South Prairie,https://www.townofsp.com/,Carolyn Norris,645,PO Box 870,South Prairie,WA,98385,Pierce,"PO Box 870,South Prairie,WA 98385",47.139268,-122.098169,"47.139268,-122.098169"
Town of Woodway,Town of Woodway,https://www.townofwoodway.com/,Mike Quinn,1340,23920 113th Pl W,Woodway,WA,98020-5205,Snohomish,"23920 113th Pl W,Woodway,WA 98020-5205",47.78171,-122.38514,"47.78171,-122.38514"
Town of Yacolt,Town of Yacolt,https://www.townofyacolt.com/,Katie Listek,1670,PO Box 160,Yacolt,WA,98675,Clark,"PO Box 160,Yacolt,WA 98675",45.865504,-122.407031,"45.865504,-122.407031"
City of Yakima,City of Yakima,https://www.townofyacolt.com/,Janice Deccio,98650,129 N 2nd St,Yakima,WA,98901-2613,Yakima,"129 N 2nd St,Yakima,WA 98901-2613",46.604913,-120.50521,"46.604913,-120.50521"
City of Tukwila,City of Tukwila,https://www.tukwilawa.gov/,Allan Ekberg,22780,6200 Southcenter Blvd,Tukwila,WA,98188-2544,King,"6200 Southcenter Blvd,Tukwila,WA 98188-2544",47.46321,-122.25552,"47.46321,-122.25552"
Town of Uniontown,Town of Uniontown,https://www.uniontown.org/,Mike Shore,400,PO Box 87,Uniontown,WA,99179,Whitman,"PO Box 87,Uniontown,WA 99179",46.539329,-117.087663,"46.539329,-117.087663"
City of Wenatchee,City of Wenatchee,https://www.wenatcheewa.gov/,Frank Kuntz,35850,PO Box 519,Wenatchee,WA,98807,Chelan,"PO Box 519,Wenatchee,WA 98807",47.442665,-120.327805,"47.442665,-120.327805"
City of West Richland,City of West Richland,https://www.westrichland.org/,Brent Gerry,17840,3100 Belmont Blvd,West Richland,WA,99353-7865,Benton,"3100 Belmont Blvd,West Richland,WA 99353-7865",46.28287,-119.3626,"46.28287,-119.3626"
City of White Salmon,City of White Salmon,https://www.white-salmon.net/contact,Marla Keethler,2500,PO Box 2139,White Salmon,WA,98672,Klickitat,"PO Box 2139,White Salmon,WA 98672",45.727619,-121.486462,"45.727619,-121.486462"
Town of Yarrow Point,Town of Yarrow Point,https://www.yarrowpointwa.gov/,Katy Harris,1135,4030 95th Ave NE,Yarrow Point,WA,98004-1358,King,"4030 95th Ave NE,Yarrow Point,WA 98004-1358",47.64736,-122.21385,"47.64736,-122.21385"
City of Yelm,City of Yelm,https://www.yelmwa.gov/,Joe DePinto,10770,106 Second St SE,Yelm,WA,98597,Thurston,"106 Second St SE,Yelm,WA 98597",46.940785,-122.60592,"46.940785,-122.60592"
Town of Albion,Town of Albion,"https://web.archive.org/web/20040306063650/http://www.palouse.org/albion/https://en.wikipedia.org/wiki/Albion,_Washington",Carolyn Emerson-Farr,540,PO Box 38,Albion,WA,99102,Whitman,"PO Box 38,Albion,WA 99102",46.790997,-117.250453,"46.790997,-117.250453"
Town of Creston,Town of Creston,"https://en.wikipedia.org/wiki/Creston,_Washington",Rosario Felice,220,PO Box 131,Creston,WA,99117,Lincoln,"PO Box 131,Creston,WA 99117",47.758488,-118.519718,"47.758488,-118.519718"
Town of Cusick,Town of Cusick,"https://en.wikipedia.org/wiki/Cusick,_Washington",Duane Schofield,155,PO Box 263,Cusick,WA,99119,Pend Oreille,"PO Box 263,Cusick,WA 99119",48.337406,-117.297166,"48.337406,-117.297166"
Town of Harrah,Town of Harrah,"https://en.wikipedia.org/wiki/Harrah,_Washington",Barbara Harrer,580,PO Box 10,Harrah,WA,98933,Yakima,"PO Box 10,Harrah,WA 98933",46.405405,-120.544525,"46.405405,-120.544525"
Town of Hartline,Town of Hartline,"https://en.wikipedia.org/wiki/Hartline,_Washington",Andrew Allsbrook,180,941 Willard St,Hartline,WA,99135-5134,Grant,"941 Willard St,Hartline,WA 99135-5134",47.690505,-119.106606,"47.690505,-119.106606"
Town of Hatton,Town of Hatton,"https://en.wikipedia.org/wiki/Hatton,_Washington",Justine Pherigo,80,150 Bronson St,Hatton,WA,99344-9494,Adams,"150 Bronson St,Hatton,WA 99344-9494",46.77563,-118.82864,"46.77563,-118.82864"
Town of Ione,Town of Ione,"https://web.archive.org/web/20110319013813/http://www.pendoreilleco.org/cities/i_details.asphttps://en.wikipedia.org/wiki/Ione,_Washington",Eva Marie Warren,425,PO Box 498,Ione,WA,99139,Pend Oreille,"PO Box 498,Ione,WA 99139",48.741327,-117.420484,"48.741327,-117.420484"
City of Kahlotus,City of Kahlotus,"https://en.wikipedia.org/wiki/Kahlotus,_Washington",Janelle Romeike,145,PO Box 100,Kahlotus,WA,99335,Franklin,"PO Box 100,Kahlotus,WA 99335",46.642182,-118.556099,"46.642182,-118.556099"
Town of Krupp,Town of Krupp,"https://en.wikipedia.org/wiki/Marlin,_Washington",Tracy Lesser,45,PO Box 227,Krupp,WA,98832,Grant,"PO Box 227,Krupp,WA 98832",47.40828,-118.987459,"47.40828,-118.987459"
Town of Metaline,Town of Metaline,"https://en.wikipedia.org/wiki/Metaline,_Washington",Peter Daggett,160,PO Box 85,Metaline,WA,99152,Pend Oreille,"PO Box 85,Metaline,WA 99152",48.850475,-117.3908,"48.850475,-117.3908"
Town of Metaline Falls,Town of Metaline Falls,"https://en.wikipedia.org/wiki/Metaline_Falls,_Washington",Tara Leininger,275,PO Box 277,Metaline Falls,WA,99153,Pend Oreille,"PO Box 277,Metaline Falls,WA 99153",48.863621,-117.371888,"48.863621,-117.371888"
City of Morton,City of Morton,"https://en.wikipedia.org/wiki/Morton,_Washington",Dan Mortensen,1080,PO Box 1089,Morton,WA,98356,Lewis,"PO Box 1089,Morton,WA 98356",46.586123,-122.24464,"46.586123,-122.24464"
Town of Nespelem,Town of Nespelem,"https://en.wikipedia.org/wiki/Nespelem,_Washington",Darcy Epperson,185,PO Box 240,Nespelem,WA,99155,Okanogan,"PO Box 240,Nespelem,WA 99155",48.1671,-118.974748,"48.1671,-118.974748"
Town of Reardan,Town of Reardan,"https://en.wikipedia.org/wiki/Reardan,_Washington",Gail Daniels,650,PO Box 228,Reardan,WA,99029,Lincoln,"PO Box 228,Reardan,WA 99029",47.669606,-117.877734,"47.669606,-117.877734"
Town of Riverside,Town of Riverside,"https://en.wikipedia.org/wiki/Riverside,_Washington",Kyle Nelson,325,PO Box 188,Riverside,WA,98849,Okanogan,"PO Box 188,Riverside,WA 98849",48.509186,-119.513472,"48.509186,-119.513472"
Town of South Cle Elum,Town of South Cle Elum,"https://en.wikipedia.org/wiki/South_Cle_Elum,_Washington",James DeVere,565,PO Box 160,South Cle Elum,WA,98943,Kittitas,"PO Box 160,South Cle Elum,WA 98943",47.185797,-120.950386,"47.185797,-120.950386"
Town of Spangle,Town of Spangle,"https://en.wikipedia.org/wiki/Spangle,_Washington",Melissa Holling,280,PO Box 147,Spangle,WA,99031,Spokane,"PO Box 147,Spangle,WA 99031",47.427394,-117.380199,"47.427394,-117.380199"
Town of Starbuck,Town of Starbuck,"https://en.wikipedia.org/wiki/Starbuck,_Washington",Zonia Dedloff,120,PO Box 276,Starbuck,WA,99359,Columbia,"PO Box 276,Starbuck,WA 99359",46.519588,-118.128845,"46.519588,-118.128845"
Town of Waverly,Town of Waverly,"https://en.wikipedia.org/wiki/Waverly,_Washington",Paul Curtis,120,PO Box 37,Waverly,WA,99039,Spokane,"PO Box 37,Waverly,WA 99039",47.342847,-117.228295,"47.342847,-117.228295"
